Name,Season,Ranking,Driving Distance,Driving Accuracy,Club Head Speed,Ball Speed,Spin Rate,Eligible
Jason Dufner,2018,100,297.7,62.41,112.31,169.0,2589.9,-1.0
Sam Ryder,2018,101,298.0,67.14,117.17,169.69,2970.1,-1.0
Trey Mullinax,2018,102,319.7,54.92,121.43,182.43,2608.3,-1.0
Brandon Harkins,2018,103,303.5,54.76,116.76,175.16,2837.6,-1.0
Patrick Rodgers,2018,104,303.5,61.14,118.75,177.01,2731.1,-1.0
Charl Schwartzel,2018,105,300.3,55.63,118.79,175.72,2881.4,-1.0
Sean O'Hair,2018,106,302.9,60.17,114.37,171.59,2550.6,-1.0
Harold Varner III,2018,107,309.1,58.85,116.83,173.5,2307.9,-1.0
Alex Cejka,2018,108,287.5,65.97,107.22,160.29,2923.1,-1.0
Rory Sabbatini,2018,109,292.8,61.83,112.09,166.23,2544.9,-1.0
Richy Werenski,2018,110,292.1,65.39,109.03,163.93,2734.4,-1.0
Sung Kang,2018,111,293.9,56.53,112.63,168.86,2525.7,-1.0
John Huh,2018,112,287.7,63.82,109.43,162.82,2199.6,-1.0
Tyler Duncan,2018,113,294.9,66.56,114.29,166.58,2554.8,-1.0
Seamus Power,2018,114,303.6,55.47,118.73,177.86,2992.8,-1.0
Martin Laird,2018,115,300.0,63.38,114.87,171.34,2599.4,-1.0
William McGirt,2018,116,289.9,60.06,110.34,165.06,2738.7,-1.0
J.T. Poston,2018,117,301.3,61.45,115.8,171.85,2556.6,-1.0
Vaughn Taylor,2018,118,286.8,67.41,106.98,160.12,2357.4,-1.0
Grayson Murray,2018,119,307.7,56.48,118.55,178.34,2557.0,-1.0
Sam Saunders,2018,120,303.2,59.79,113.44,170.66,2341.4,-1.0
Ryan Blaum,2018,121,289.7,64.49,108.05,161.73,2824.4,-1.0
Scott Brown,2018,122,292.8,62.21,113.47,165.91,2652.6,-1.0
Nick Taylor,2018,123,293.2,60.94,109.94,163.76,2563.7,-1.0
Bud Cauley,2018,124,295.4,60.81,112.3,168.39,2552.7,-1.0
Harris English,2018,125,303.1,58.76,116.8,175.84,2601.4,-1.0
Rory McIlroy,2019,1,313.7,60.66,121.5,179.45,2372.8,1.0
Xander Schauffele,2019,2,303.2,59.89,120.38,178.67,2607.6,1.0
Brooks Koepka,2019,3,308.3,62.39,122.09,178.89,2695.7,1.0
Justin Thomas,2019,3,300.9,59.72,117.2,176.17,2800.0,1.0
Paul Casey,2019,5,297.7,68.2,116.42,174.56,2720.2,1.0
Adam Scott,2019,6,298.8,60.73,120.29,179.36,3404.2,1.0
Tony Finau,2019,7,309.8,55.61,121.8,180.76,2937.8,1.0
Chez Reavie,2019,8,287.5,75.29,108.74,162.38,2430.3,1.0
Kevin Kisner,2019,9,286.1,69.25,112.2,166.61,2930.9,1.0
Hideki Matsuyama,2019,9,304.0,61.94,117.05,174.37,2772.0,1.0
Patrick Reed,2019,9,295.6,60.19,116.76,172.64,2935.2,1.0
Bryson DeChambeau,2019,12,302.4,66.0,118.24,175.4,2870.2,1.0
Jon Rahm,2019,12,306.3,62.12,118.56,175.78,2341.2,1.0
Jason Kokrak,2019,14,305.4,62.59,119.89,179.02,2490.1,1.0
Gary Woodland,2019,15,309.1,64.46,122.2,180.47,2729.4,1.0
Tommy Fleetwood,2019,16,297.6,64.37,115.58,173.91,2604.5,1.0
Matt Kuchar,2019,16,290.1,68.67,109.12,164.27,2414.2,1.0
Webb Simpson,2019,16,288.2,68.14,110.44,165.55,2352.2,1.0
Rickie Fowler,2019,19,303.2,61.15,115.72,174.35,2682.0,1.0
Sungjae Im,2019,19,296.0,65.79,114.65,170.03,2764.1,1.0
Abraham Ancer,2019,21,293.0,69.74,112.03,168.15,2754.5,1.0
Patrick Cantlay,2019,21,305.6,57.86,116.27,175.52,2543.8,1.0
Louis Oosthuizen,2019,21,296.4,67.27,113.2,170.61,2492.0,1.0
Marc Leishman,2019,24,296.2,60.09,117.08,174.47,2546.9,1.0
Brandt Snedeker,2019,24,287.0,62.61,109.82,163.15,2623.6,1.0
Corey Conners,2019,26,296.7,66.67,114.52,172.64,2748.5,1.0
Justin Rose,2019,26,304.4,59.0,115.24,173.1,2382.4,1.0
Charles Howell III,2019,28,303.3,63.44,117.66,176.13,2817.0,1.0
Lucas Glover,2019,29,295.8,66.05,115.21,172.0,2427.4,1.0
Dustin Johnson,2019,29,311.2,55.61,119.18,178.82,2717.2,1.0
Kevin Tway,2019,31,303.8,55.15,121.54,182.19,2923.1,-1.0
J.T. Poston,2019,32,293.8,62.28,114.0,170.56,2576.8,-1.0
Andrew Putnam,2019,34,282.5,60.42,115.14,166.56,2893.8,-1.0
Ryan Palmer,2019,35,299.8,59.56,116.15,173.36,2464.5,-1.0
Rory Sabbatini,2019,36,290.0,65.82,111.53,165.34,2462.3,-1.0
C.T. Pan,2019,37,285.2,64.53,110.67,166.27,2361.3,-1.0
Harold Varner III,2019,38,302.7,59.5,115.66,173.49,2058.3,-1.0
Scott Piercy,2019,39,292.5,67.49,114.22,171.22,2903.8,-1.0
Francesco Molinari,2019,40,289.8,66.05,111.8,168.06,2674.1,-1.0
Ian Poulter,2019,41,293.3,63.21,112.28,168.21,2553.1,-1.0
Billy Horschel,2019,43,292.1,64.07,113.61,169.37,2584.1,-1.0
Jordan Spieth,2019,44,295.1,52.67,113.54,170.65,2491.7,-1.0
Sung Kang,2019,45,299.8,60.53,113.99,171.51,2471.3,-1.0
Si Woo Kim,2019,46,293.1,62.42,113.88,168.84,2590.7,-1.0
Phil Mickelson,2019,47,306.5,50.34,120.11,178.05,2438.7,-1.0
Ryan Moore,2019,48,283.2,75.05,109.08,161.54,2581.6,-1.0
Vaughn Taylor,2019,49,283.0,68.71,108.22,162.3,2720.3,-1.0
Keith Mitchell,2019,50,303.8,60.82,122.03,181.4,2631.8,-1.0
Jim Furyk,2019,51,275.8,74.01,107.53,161.0,2633.9,-1.0
Adam Hadwin,2019,52,291.4,67.76,112.51,169.65,2982.3,-1.0
Byeong Hun An,2019,53,307.6,58.28,116.66,175.83,2380.4,-1.0
Jason Day,2019,54,301.3,62.36,117.62,176.6,2253.4,-1.0
Joel Dahmen,2019,55,292.4,68.89,111.81,167.58,2725.1,-1.0
J.B. Holmes,2019,56,305.3,56.87,120.09,179.31,3135.7,-1.0
Nate Lashley,2019,57,290.5,65.05,111.55,166.42,2451.8,-1.0
Troy Merritt,2019,58,293.5,66.89,112.13,168.13,2938.6,-1.0
Max Homa,2019,60,299.3,56.22,118.78,177.26,2854.8,-1.0
Kevin Na,2019,61,290.9,63.65,114.19,167.89,2810.2,-1.0
Cameron Champ,2019,62,316.9,54.87,127.96,190.65,2718.2,-1.0
Dylan Frittelli,2019,63,296.8,61.95,114.01,171.08,2839.1,-1.0
Wyndham Clark,2019,64,312.6,55.45,121.01,181.49,2875.7,-1.0
Emiliano Grillo,2019,65,295.9,67.26,115.04,170.58,2740.1,-1.0
Keegan Bradley,2019,66,298.9,65.41,113.56,170.89,2679.8,-1.0
Joaquin Niemann,2019,67,301.2,61.97,117.3,175.63,2716.2,-1.0
Graeme McDowell,2019,68,286.3,63.09,111.88,166.89,2728.3,-1.0
Adam Long,2019,69,293.2,66.5,110.37,165.65,2642.2,-1.0
Rafa Cabrera Bello,2019,70,289.5,64.42,112.13,168.54,2503.5,-1.0
Adam Schenk,2019,71,301.3,60.55,123.24,180.07,3163.7,-1.0
Sergio Garcia,2019,72,302.7,58.39,121.01,177.79,3172.7,-1.0
Danny Lee,2019,73,301.5,55.96,116.0,171.28,2398.8,-1.0
Kevin Streelman,2019,75,292.0,67.82,112.97,169.02,2375.8,-1.0
Jhonattan Vegas,2019,76,308.3,58.09,124.7,181.69,2669.9,-1.0
Branden Grace,2019,77,295.9,56.77,115.11,172.74,2627.1,-1.0
Charley Hoffman,2019,78,296.1,58.22,115.69,174.03,2992.6,-1.0
Tyrrell Hatton,2019,79,297.4,62.73,115.53,172.01,2536.8,-1.0
Chesson Hadley,2019,80,297.9,59.28,114.77,172.74,2483.9,-1.0
Bubba Watson,2019,81,311.8,57.78,121.5,181.19,2594.5,-1.0
Brian Stuard,2019,82,277.0,71.08,106.42,160.25,2537.1,-1.0
